Investor,Count
Benhcmark,1
Nortzone Ventures,1
Picus Capital,1
Revolution Ventures,1
Bain Capital Credit,1
Didi Chuxing,1
Diamler,1
TMT Investments,1
01 Advisors,1
Group 11,1
T. Rowe Associates,1
Lightbank,1
Kaalari Capital,1
Steadview Capital,1
OrbiMed Advisors,1
Highland Capital Management,1
Ford Autonomous Vehicles,1
Morgan Creek Digital,1
Marcy Venture Partners,1
Morningside Group,1
BA Capital,1
North Bridge Growth Equity,1
Electric Capital,1
ES Ventures,1
Draper Fisher Jurvetson,1
Rothenberg Ventures,1
LowercaseCapital,1
Collaborative Fund,1
index Ventures,1
Smash Ventures,1
Warbug Pincus,1
Longfor Capitalm,1
Venture51,1
Spar Capital,1
Thirty Five Ventures,1
Breyer Capital,1
Vickers Venture Partners,1
IKEA GreenTech,1
BDT Capital Partners,1
Davidson Kempner Capital Management,1
Revo Capital,1
LTW Capital,1
Essence Financial,1
Accel India,1
SAIF Partners,1
MindWorks Ventures,1
GX Capital,1
DJF,1
Draft Ventures,1
Upper90,1
Jump Crypto,1
Third Point,1
Skip Capital,1
TVS Capital,1
Oriza Equity Investment,1
"Advent International,General Catalyst,Insight Partners",1
Providence Ventures,1
Ontario Teachers' Pension Plan,1
Burda Principal Investments,1
Orange Digital Ventures,1
Goldstone Investments,1
Seedcamp,1
PremjiInvest,1
Atop Capital,1
Geodesic Capital,1
Wincove,1
TDR Capital,1
iFly,1
CJ ENM,1
Foxconn Technology Company,1
Starr Investment Holdings,1
Hellman & Friedman,1
JMI Equity,1
TQ Ventures,1
Bond Capital,1
Ascension Ventures,1
Kleiner Perkins Caulfield & Byers,1
Pear,1
Energize Ventures,1
	ICONIQ Capital,1
Fairfax Financial Holdings,1
A91 Partners,1
Founders,1
Silk Road Huacheng,1
"Bank Of China Group Investment,",1
Asset Management Ventures,1
BPI France,1
Kerala Ventures,1
Barter Ventures,1
MenloVentures,1
Warmsun Holding,1
Pine Brook,1
UBS,1
Borui Capital,1
Huasheng Capital,1
A&E Television Networks,1
Maverick Ventures,1
Founders Fund. Accel,1
Credit Suisse,1
Runa Capital,1
Acton Capital Partners,1
Baidu Capital,1
3i Group,1
LeapFrog Investments,1
Clermont Group,1
Coltrane Asset Management,1
Toscafund Asset Management,1
Andalusian Capital Partners,1
Capital One Growth Ventures,1
India Quotient,1
Lead Edge Capital,1
Artis Ventures,1
Quona Capital,1
Knox Lane,1
Ainge Advisory,1
Carlson Private Capital Partners,1
Launchpad Venture Group,1
Verissimo Ventures,1
	Andreessen Horowitz,1
IFC,1
Ajinomoto,1
Oakhouse Partners,1
Bjarke Ingels Group,1
Guiyang Venture Capital,1
Longfor Capital,1
CAOGENZHIBEN GROUP,1
Guozhong Venture Capital Management,1
Oriental Fortune Capital,1
Centurium Capital,1
Cedarlake Capital,1
CE-Ventures,1
BECO Capital,1
Nordstar,1
"Alibaba Group,Co-Stone Venture Capital",1
Buhuo Venture Capital,1
Norma Investments,1
